Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_SOD-123",28.962500,-29.450000,180.000000,bottom
"D2","D","D_SOD-123",48.012500,-29.450000,180.000000,bottom
"D3","D","D_SOD-123",67.062500,-29.450000,180.000000,bottom
"D4","D","D_SOD-123",86.112500,-29.450000,180.000000,bottom
"D5","D","D_SOD-123",105.162500,-29.450000,180.000000,bottom
"D6","D","D_SOD-123",124.212500,-29.450000,180.000000,bottom
"D7","D","D_SOD-123",143.262500,-29.450000,180.000000,bottom
"D8","D","D_SOD-123",162.312500,-29.450000,180.000000,bottom
"D9","D","D_SOD-123",181.362500,-29.450000,180.000000,bottom
"D10","D","D_SOD-123",200.412500,-29.450000,180.000000,bottom
"D11","D","D_SOD-123",219.462500,-29.450000,180.000000,bottom
"D12","D","D_SOD-123",238.512500,-29.450000,180.000000,bottom
"D13","D","D_SOD-123",257.562500,-29.450000,180.000000,bottom
"D14","D","D_SOD-123",276.612500,-29.450000,180.000000,bottom
"D15","D","D_SOD-123",33.725000,-48.500000,180.000000,bottom
"D16","D","D_SOD-123",57.537500,-48.500000,180.000000,bottom
"D17","D","D_SOD-123",76.587500,-48.500000,180.000000,bottom
"D18","D","D_SOD-123",95.637500,-48.500000,180.000000,bottom
"D19","D","D_SOD-123",114.687500,-48.500000,180.000000,bottom
"D20","D","D_SOD-123",133.737500,-48.500000,180.000000,bottom
"D21","D","D_SOD-123",152.787500,-48.500000,180.000000,bottom
"D22","D","D_SOD-123",171.837500,-48.500000,180.000000,bottom
"D23","D","D_SOD-123",190.887500,-48.500000,180.000000,bottom
"D24","D","D_SOD-123",209.937500,-48.500000,180.000000,bottom
"D25","D","D_SOD-123",228.987500,-48.500000,180.000000,bottom
"D26","D","D_SOD-123",248.037500,-48.500000,180.000000,bottom
"D27","D","D_SOD-123",271.850000,-48.500000,180.000000,bottom
"D28","D","D_SOD-123",38.487500,-67.550000,180.000000,bottom
"D29","D","D_SOD-123",67.062500,-67.550000,180.000000,bottom
"D30","D","D_SOD-123",86.112500,-67.550000,180.000000,bottom
"D31","D","D_SOD-123",105.162500,-67.550000,180.000000,bottom
"D32","D","D_SOD-123",124.212500,-67.550000,180.000000,bottom
"D33","D","D_SOD-123",143.262500,-67.550000,180.000000,bottom
"D34","D","D_SOD-123",162.312500,-67.550000,180.000000,bottom
"D35","D","D_SOD-123",181.362500,-67.550000,180.000000,bottom
"D36","D","D_SOD-123",200.412500,-67.550000,180.000000,bottom
"D37","D","D_SOD-123",219.462500,-67.550000,180.000000,bottom
"D38","D","D_SOD-123",238.512500,-67.550000,180.000000,bottom
"D39","D","D_SOD-123",267.087500,-67.550000,180.000000,bottom
"D40","D","D_SOD-123",28.962500,-86.600000,180.000000,bottom
"D41","D","D_SOD-123",50.393750,-86.600000,180.000000,bottom
"D42","D","D_SOD-123",74.206250,-86.600000,180.000000,bottom
"D43","D","D_SOD-123",112.306250,-86.600000,180.000000,bottom
"D44","D","D_SOD-123",148.025000,-86.600000,180.000000,bottom
"D45","D","D_SOD-123",183.743750,-86.600000,180.000000,bottom
"D46","D","D_SOD-123",219.462500,-86.600000,180.000000,bottom
"D47","D","D_SOD-123",238.512500,-86.600000,180.000000,bottom
"D48","D","D_SOD-123",257.562500,-86.600000,180.000000,bottom
"D49","D","D_SOD-123",276.612500,-86.600000,180.000000,bottom
